date,time,seconds,frame
20160522,110935,1463929775.43,287
20160522,110935,1463929775.46,288
20160522,110935,1463929775.49,289
20160522,110935,1463929775.52,290
20160522,110935,1463929775.55,291
20160522,110935,1463929775.59,292
20160522,110935,1463929775.62,293
20160522,110935,1463929775.65,294
20160522,110935,1463929775.68,295
20160522,110935,1463929775.71,296
20160522,110935,1463929775.74,297
20160522,110935,1463929775.77,298
20160522,110935,1463929775.8,299
20160522,110935,1463929775.83,300
20160522,110935,1463929775.86,301
20160522,110935,1463929775.9,302
20160522,110935,1463929775.93,303
20160522,110935,1463929775.96,304
20160522,110935,1463929775.99,305
20160522,110936,1463929776.02,306
20160522,110936,1463929776.05,307
20160522,110936,1463929776.08,308
20160522,110936,1463929776.11,309
20160522,110936,1463929776.14,310
20160522,110936,1463929776.18,311
20160522,110936,1463929776.21,312
20160522,110936,1463929776.24,313
20160522,110936,1463929776.27,314
20160522,110936,1463929776.3,315
20160522,110936,1463929776.33,316
20160522,110936,1463929776.36,317
20160522,110936,1463929776.39,318
20160522,110936,1463929776.42,319
20160522,110936,1463929776.46,320
20160522,110936,1463929776.48,321
20160522,110936,1463929776.52,322
20160522,110936,1463929776.55,323
20160522,110936,1463929776.58,324
20160522,110936,1463929776.61,325
20160522,110936,1463929776.64,326
20160522,110936,1463929776.67,327
20160522,110936,1463929776.7,328
20160522,110936,1463929776.73,329
20160522,110936,1463929776.76,330
20160522,110936,1463929776.79,331
20160522,110936,1463929776.83,332
20160522,110936,1463929776.86,333
20160522,110936,1463929776.89,334
20160522,110936,1463929776.92,335
20160522,110936,1463929776.95,336
20160522,110936,1463929776.98,337
20160522,110937,1463929777.01,338
20160522,110937,1463929777.04,339
20160522,110937,1463929777.07,340
20160522,110937,1463929777.11,341
20160522,110937,1463929777.14,342
20160522,110937,1463929777.17,343
20160522,110937,1463929777.2,344
20160522,110937,1463929777.23,345
20160522,110937,1463929777.26,346
20160522,110937,1463929777.29,347
20160522,110937,1463929777.32,348
20160522,110937,1463929777.35,349
20160522,110937,1463929777.38,350
20160522,110937,1463929777.41,351
20160522,110937,1463929777.45,352
20160522,110937,1463929777.48,353
20160522,110937,1463929777.51,354
20160522,110937,1463929777.54,355
20160522,110937,1463929777.57,356
20160522,110937,1463929777.6,357
20160522,110937,1463929777.63,358
20160522,110937,1463929777.66,359
20160522,110937,1463929777.69,360
20160522,110937,1463929777.72,361
20160522,110937,1463929777.76,362
20160522,110937,1463929777.79,363
20160522,110937,1463929777.82,364
20160522,110937,1463929777.85,365
20160522,110937,1463929777.88,366
20160522,110937,1463929777.91,367
20160522,110937,1463929777.94,368
20160522,110937,1463929777.97,369
20160522,110938,1463929778.0,370
20160522,110938,1463929778.03,371
20160522,110938,1463929778.07,372
20160522,110938,1463929778.1,373
20160522,110938,1463929778.13,374
20160522,110938,1463929778.16,375
20160522,110938,1463929778.19,376
20160522,110938,1463929778.22,377
20160522,110938,1463929778.25,378
20160522,110938,1463929778.28,379
20160522,110938,1463929778.31,380
20160522,110938,1463929778.34,381
20160522,110938,1463929778.38,382
20160522,110938,1463929778.41,383
20160522,110938,1463929778.44,384
20160522,110938,1463929778.47,385
20160522,110938,1463929778.5,386
20160522,110938,1463929778.53,387
20160522,110938,1463929778.56,388
20160522,110938,1463929778.59,389
20160522,110938,1463929778.62,390
20160522,110938,1463929778.65,391
20160522,110938,1463929778.69,392
20160522,110938,1463929778.72,393
20160522,110938,1463929778.75,394
20160522,110938,1463929778.78,395
20160522,110938,1463929778.81,396
20160522,110938,1463929778.84,397
20160522,110938,1463929778.87,398
20160522,110938,1463929778.9,399
20160522,110938,1463929778.93,400
20160522,110938,1463929778.96,401
20160522,110938,1463929779.0,402
20160522,110939,1463929779.03,403
20160522,110939,1463929779.06,404
20160522,110939,1463929779.09,405
20160522,110939,1463929779.12,406
20160522,110939,1463929779.15,407
20160522,110939,1463929779.18,408
20160522,110939,1463929779.21,409
20160522,110939,1463929779.24,410
20160522,110939,1463929779.27,411
20160522,110939,1463929779.31,412
20160522,110939,1463929779.34,413
20160522,110939,1463929779.37,414
20160522,110939,1463929779.4,415
20160522,110939,1463929779.43,416
20160522,110939,1463929779.46,417
20160522,110939,1463929779.49,418
20160522,110939,1463929779.52,419
20160522,110939,1463929779.55,420
20160522,110939,1463929779.58,421
20160522,110939,1463929779.62,422
20160522,110939,1463929779.65,423
20160522,110939,1463929779.68,424
20160522,110939,1463929779.71,425
20160522,110939,1463929779.74,426
20160522,110939,1463929779.77,427
20160522,110939,1463929779.8,428
20160522,110939,1463929779.83,429
20160522,110939,1463929779.86,430
20160522,110939,1463929779.9,431
20160522,110939,1463929779.93,432
20160522,110939,1463929779.96,433
20160522,110939,1463929779.99,434
20160522,110940,1463929780.02,435
20160522,110940,1463929780.05,436
20160522,110940,1463929780.08,437
20160522,110940,1463929780.11,438
20160522,110940,1463929780.14,439
20160522,110940,1463929780.17,440
20160522,110940,1463929780.21,441
20160522,110940,1463929780.24,442
20160522,110940,1463929780.27,443
20160522,110940,1463929780.3,444
20160522,110940,1463929780.33,445
20160522,110940,1463929780.36,446
20160522,110940,1463929780.39,447
20160522,110940,1463929780.42,448
20160522,110940,1463929780.45,449
20160522,110940,1463929780.48,450
20160522,110940,1463929780.52,451
20160522,110940,1463929780.55,452
20160522,110940,1463929780.58,453
20160522,110940,1463929780.61,454
20160522,110940,1463929780.64,455
20160522,110940,1463929780.67,456
20160522,110940,1463929780.7,457
20160522,110940,1463929780.73,458
20160522,110940,1463929780.76,459
20160522,110940,1463929780.79,460
20160522,110940,1463929780.83,461
20160522,110940,1463929780.86,462
20160522,110940,1463929780.89,463
20160522,110940,1463929780.92,464
20160522,110940,1463929780.95,465
20160522,110940,1463929780.98,466
20160522,110941,1463929781.01,467
20160522,110941,1463929781.04,468
20160522,110941,1463929781.07,469
20160522,110941,1463929781.1,470
20160522,110941,1463929781.14,471
20160522,110941,1463929781.17,472
20160522,110941,1463929781.2,473
20160522,110941,1463929781.23,474
20160522,110941,1463929781.26,475
20160522,110941,1463929781.29,476
20160522,110941,1463929781.32,477
20160522,110941,1463929781.35,478
20160522,110941,1463929781.38,479
20160522,110941,1463929781.41,480
20160522,110941,1463929781.45,481
20160522,110941,1463929781.48,482
20160522,110941,1463929781.51,483
20160522,110941,1463929781.54,484
20160522,110941,1463929781.57,485
20160522,110941,1463929781.6,486
20160522,110941,1463929781.63,487
20160522,110941,1463929781.66,488
20160522,110941,1463929781.69,489
20160522,110941,1463929781.72,490
20160522,110941,1463929781.76,491
20160522,110941,1463929781.79,492
20160522,110941,1463929781.82,493
20160522,110941,1463929781.85,494
20160522,110941,1463929781.88,495
20160522,110941,1463929781.91,496
20160522,110941,1463929781.94,497
20160522,110941,1463929781.97,498
20160522,110942,1463929782.0,499
20160522,110942,1463929782.03,500
20160522,110942,1463929782.07,501
20160522,110942,1463929782.1,502
20160522,110942,1463929782.13,503
20160522,110942,1463929782.16,504
20160522,110942,1463929782.19,505
20160522,110942,1463929782.22,506
20160522,110942,1463929782.25,507
20160522,110942,1463929782.28,508
20160522,110942,1463929782.31,509
20160522,110942,1463929782.34,510
20160522,110942,1463929782.38,511
20160522,110942,1463929782.41,512
20160522,110942,1463929782.44,513
20160522,110942,1463929782.47,514
20160522,110942,1463929782.5,515
20160522,110942,1463929782.53,516
20160522,110942,1463929782.56,517
20160522,110942,1463929782.59,518
20160522,110942,1463929782.62,519
20160522,110942,1463929782.65,520
20160522,110942,1463929782.69,521
20160522,110942,1463929782.72,522
20160522,110942,1463929782.75,523
20160522,110942,1463929782.78,524
20160522,110942,1463929782.81,525
20160522,110942,1463929782.84,526
20160522,110942,1463929782.87,527
20160522,110942,1463929782.9,528
20160522,110942,1463929782.93,529
20160522,110942,1463929782.96,530
20160522,110942,1463929783.0,531
20160522,110943,1463929783.03,532
20160522,110943,1463929783.06,533
20160522,110943,1463929783.09,534
20160522,110943,1463929783.12,535
20160522,110943,1463929783.15,536
20160522,110943,1463929783.18,537
20160522,110943,1463929783.21,538
20160522,110943,1463929783.24,539
20160522,110943,1463929783.27,540
20160522,110943,1463929783.31,541
20160522,110943,1463929783.34,542
20160522,110943,1463929783.37,543
20160522,110943,1463929783.4,544
20160522,110943,1463929783.43,545
20160522,110943,1463929783.46,546
20160522,110943,1463929783.49,547
20160522,110943,1463929783.52,548
20160522,110943,1463929783.55,549
20160522,110943,1463929783.58,550
20160522,110943,1463929783.62,551
20160522,110943,1463929783.65,552
20160522,110943,1463929783.68,553
20160522,110943,1463929783.71,554
20160522,110943,1463929783.74,555
20160522,110943,1463929783.77,556
20160522,110943,1463929783.8,557
20160522,110943,1463929783.83,558
20160522,110943,1463929783.86,559
20160522,110943,1463929783.89,560
20160522,110943,1463929783.93,561
20160522,110943,1463929783.96,562
20160522,110943,1463929783.99,563
20160522,110944,1463929784.02,564
20160522,110944,1463929784.05,565
20160522,110944,1463929784.08,566
20160522,110944,1463929784.11,567
20160522,110944,1463929784.14,568
20160522,110944,1463929784.17,569
20160522,110944,1463929784.2,570
20160522,110944,1463929784.24,571
20160522,110944,1463929784.27,572
20160522,110944,1463929784.3,573
20160522,110944,1463929784.33,574
20160522,110944,1463929784.36,575
