seconds,frame
20160520_074042,1463744442.58,307
20160520_074042,1463744442.61,308
20160520_074042,1463744442.64,309
20160520_074042,1463744442.67,310
20160520_074042,1463744442.71,311
20160520_074042,1463744442.74,312
20160520_074042,1463744442.77,313
20160520_074042,1463744442.8,314
20160520_074042,1463744442.83,315
20160520_074042,1463744442.86,316
20160520_074042,1463744442.89,317
20160520_074042,1463744442.92,318
20160520_074042,1463744442.95,319
20160520_074042,1463744442.98,320
20160520_074043,1463744443.02,321
20160520_074043,1463744443.05,322
20160520_074043,1463744443.08,323
20160520_074043,1463744443.11,324
20160520_074043,1463744443.14,325
20160520_074043,1463744443.17,326
20160520_074043,1463744443.2,327
20160520_074043,1463744443.23,328
20160520_074043,1463744443.26,329
20160520_074043,1463744443.29,330
20160520_074043,1463744443.33,331
20160520_074043,1463744443.36,332
20160520_074043,1463744443.39,333
20160520_074043,1463744443.42,334
20160520_074043,1463744443.45,335
20160520_074043,1463744443.48,336
20160520_074043,1463744443.51,337
20160520_074043,1463744443.54,338
20160520_074043,1463744443.57,339
20160520_074043,1463744443.6,340
20160520_074043,1463744443.64,341
20160520_074043,1463744443.67,342
20160520_074043,1463744443.7,343
20160520_074043,1463744443.73,344
20160520_074043,1463744443.76,345
20160520_074043,1463744443.79,346
20160520_074043,1463744443.82,347
20160520_074043,1463744443.85,348
20160520_074043,1463744443.88,349
20160520_074043,1463744443.91,350
20160520_074043,1463744443.95,351
20160520_074043,1463744443.98,352
20160520_074044,1463744444.01,353
20160520_074044,1463744444.04,354
20160520_074044,1463744444.07,355
20160520_074044,1463744444.1,356
20160520_074044,1463744444.13,357
20160520_074044,1463744444.16,358
20160520_074044,1463744444.19,359
20160520_074044,1463744444.22,360
20160520_074044,1463744444.26,361
20160520_074044,1463744444.29,362
20160520_074044,1463744444.32,363
20160520_074044,1463744444.35,364
20160520_074044,1463744444.38,365
20160520_074044,1463744444.41,366
20160520_074044,1463744444.44,367
20160520_074044,1463744444.47,368
20160520_074044,1463744444.5,369
20160520_074044,1463744444.53,370
20160520_074044,1463744444.57,371
20160520_074044,1463744444.6,372
20160520_074044,1463744444.63,373
20160520_074044,1463744444.66,374
20160520_074044,1463744444.69,375
20160520_074044,1463744444.72,376
20160520_074044,1463744444.75,377
20160520_074044,1463744444.78,378
20160520_074044,1463744444.81,379
20160520_074044,1463744444.84,380
20160520_074044,1463744444.88,381
20160520_074044,1463744444.91,382
20160520_074044,1463744444.94,383
20160520_074044,1463744444.97,384
20160520_074044,1463744445.0,385
20160520_074045,1463744445.03,386
20160520_074045,1463744445.06,387
20160520_074045,1463744445.09,388
20160520_074045,1463744445.12,389
20160520_074045,1463744445.15,390
20160520_074045,1463744445.19,391
20160520_074045,1463744445.22,392
20160520_074045,1463744445.25,393
20160520_074045,1463744445.28,394
20160520_074045,1463744445.31,395
20160520_074045,1463744445.34,396
20160520_074045,1463744445.37,397
20160520_074045,1463744445.4,398
20160520_074045,1463744445.43,399
20160520_074045,1463744445.46,400
20160520_074045,1463744445.5,401
20160520_074045,1463744445.53,402
20160520_074045,1463744445.56,403
20160520_074045,1463744445.59,404
20160520_074045,1463744445.62,405
20160520_074045,1463744445.65,406
20160520_074045,1463744445.68,407
20160520_074045,1463744445.71,408
20160520_074045,1463744445.74,409
20160520_074045,1463744445.77,410
20160520_074045,1463744445.81,411
20160520_074045,1463744445.84,412
20160520_074045,1463744445.87,413
20160520_074045,1463744445.9,414
20160520_074045,1463744445.93,415
20160520_074045,1463744445.96,416
20160520_074045,1463744445.99,417
20160520_074046,1463744446.02,418
20160520_074046,1463744446.05,419
20160520_074046,1463744446.08,420
20160520_074046,1463744446.12,421
20160520_074046,1463744446.15,422
20160520_074046,1463744446.18,423
20160520_074046,1463744446.21,424
20160520_074046,1463744446.24,425
20160520_074046,1463744446.27,426
20160520_074046,1463744446.3,427
20160520_074046,1463744446.33,428
20160520_074046,1463744446.36,429
20160520_074046,1463744446.39,430
20160520_074046,1463744446.43,431
20160520_074046,1463744446.46,432
20160520_074046,1463744446.49,433
20160520_074046,1463744446.52,434
20160520_074046,1463744446.55,435
20160520_074046,1463744446.58,436
20160520_074046,1463744446.61,437
20160520_074046,1463744446.64,438
20160520_074046,1463744446.67,439
20160520_074046,1463744446.7,440
20160520_074046,1463744446.74,441
20160520_074046,1463744446.77,442
20160520_074046,1463744446.8,443
20160520_074046,1463744446.83,444
20160520_074046,1463744446.86,445
20160520_074046,1463744446.89,446
20160520_074046,1463744446.92,447
20160520_074046,1463744446.95,448
20160520_074046,1463744446.98,449
20160520_074047,1463744447.01,450
20160520_074047,1463744447.05,451
20160520_074047,1463744447.08,452
20160520_074047,1463744447.11,453
20160520_074047,1463744447.14,454
20160520_074047,1463744447.17,455
20160520_074047,1463744447.2,456
20160520_074047,1463744447.23,457
20160520_074047,1463744447.26,458
20160520_074047,1463744447.29,459
20160520_074047,1463744447.32,460
20160520_074047,1463744447.36,461
20160520_074047,1463744447.39,462
20160520_074047,1463744447.42,463
20160520_074047,1463744447.45,464
20160520_074047,1463744447.48,465
20160520_074047,1463744447.51,466
20160520_074047,1463744447.54,467
20160520_074047,1463744447.57,468
20160520_074047,1463744447.6,469
20160520_074047,1463744447.63,470
20160520_074047,1463744447.67,471
20160520_074047,1463744447.7,472
20160520_074047,1463744447.73,473
20160520_074047,1463744447.76,474
20160520_074047,1463744447.79,475
20160520_074047,1463744447.82,476
20160520_074047,1463744447.85,477
20160520_074047,1463744447.88,478
20160520_074047,1463744447.91,479
20160520_074047,1463744447.94,480
20160520_074047,1463744447.98,481
20160520_074048,1463744448.01,482
20160520_074048,1463744448.04,483
20160520_074048,1463744448.07,484
20160520_074048,1463744448.1,485
20160520_074048,1463744448.13,486
20160520_074048,1463744448.16,487
20160520_074048,1463744448.19,488
20160520_074048,1463744448.22,489
20160520_074048,1463744448.25,490
20160520_074048,1463744448.29,491
20160520_074048,1463744448.32,492
20160520_074048,1463744448.35,493
20160520_074048,1463744448.38,494
20160520_074048,1463744448.41,495
20160520_074048,1463744448.44,496
20160520_074048,1463744448.47,497
20160520_074048,1463744448.5,498
20160520_074048,1463744448.53,499
20160520_074048,1463744448.56,500
20160520_074048,1463744448.6,501
20160520_074048,1463744448.63,502
20160520_074048,1463744448.66,503
20160520_074048,1463744448.69,504
20160520_074048,1463744448.72,505
20160520_074048,1463744448.75,506
20160520_074048,1463744448.78,507
20160520_074048,1463744448.81,508
20160520_074048,1463744448.84,509
20160520_074048,1463744448.87,510
20160520_074048,1463744448.91,511
20160520_074048,1463744448.94,512
20160520_074048,1463744448.97,513
20160520_074048,1463744449.0,514
20160520_074049,1463744449.03,515
20160520_074049,1463744449.06,516
20160520_074049,1463744449.09,517
20160520_074049,1463744449.12,518
20160520_074049,1463744449.15,519
20160520_074049,1463744449.18,520
20160520_074049,1463744449.22,521
20160520_074049,1463744449.25,522
20160520_074049,1463744449.28,523
20160520_074049,1463744449.31,524
20160520_074049,1463744449.34,525
20160520_074049,1463744449.37,526
20160520_074049,1463744449.4,527
20160520_074049,1463744449.43,528
20160520_074049,1463744449.46,529
20160520_074049,1463744449.49,530
20160520_074049,1463744449.53,531
20160520_074049,1463744449.56,532
20160520_074049,1463744449.59,533
20160520_074049,1463744449.62,534
20160520_074049,1463744449.65,535
20160520_074049,1463744449.68,536
20160520_074049,1463744449.71,537
20160520_074049,1463744449.74,538
20160520_074049,1463744449.77,539
20160520_074049,1463744449.8,540
20160520_074049,1463744449.84,541
20160520_074049,1463744449.87,542
20160520_074049,1463744449.9,543
20160520_074049,1463744449.93,544
20160520_074049,1463744449.96,545
20160520_074049,1463744449.99,546
20160520_074050,1463744450.02,547
20160520_074050,1463744450.05,548
20160520_074050,1463744450.08,549
20160520_074050,1463744450.11,550
20160520_074050,1463744450.15,551
20160520_074050,1463744450.18,552
20160520_074050,1463744450.21,553
20160520_074050,1463744450.24,554
20160520_074050,1463744450.27,555
20160520_074050,1463744450.3,556
20160520_074050,1463744450.33,557
20160520_074050,1463744450.36,558
20160520_074050,1463744450.39,559
20160520_074050,1463744450.42,560
20160520_074050,1463744450.46,561
20160520_074050,1463744450.49,562
20160520_074050,1463744450.52,563
20160520_074050,1463744450.55,564
20160520_074050,1463744450.58,565
20160520_074050,1463744450.61,566
20160520_074050,1463744450.64,567
20160520_074050,1463744450.67,568
20160520_074050,1463744450.7,569
20160520_074050,1463744450.73,570
20160520_074050,1463744450.77,571
20160520_074050,1463744450.8,572
20160520_074050,1463744450.83,573
20160520_074050,1463744450.86,574
20160520_074050,1463744450.89,575
20160520_074050,1463744450.92,576
20160520_074050,1463744450.95,577
20160520_074050,1463744450.98,578
20160520_074051,1463744451.01,579
20160520_074051,1463744451.05,580
20160520_074051,1463744451.08,581
20160520_074051,1463744451.11,582
20160520_074051,1463744451.14,583
20160520_074051,1463744451.17,584
20160520_074051,1463744451.2,585
20160520_074051,1463744451.23,586
20160520_074051,1463744451.26,587
20160520_074051,1463744451.29,588
20160520_074051,1463744451.32,589
20160520_074051,1463744451.35,590
20160520_074051,1463744451.39,591
20160520_074051,1463744451.42,592
20160520_074051,1463744451.45,593
20160520_074051,1463744451.48,594
20160520_074051,1463744451.51,595
20160520_074051,1463744451.54,596
20160520_074051,1463744451.57,597
